carat,cut,color,clarity,depth,table,price,x,y,z
0.61,Very Good,E,SI1,62.5,58.0,1506,2.96,2.94,1.84
0.32,Good,E,SI1,61.1,60.0,401,1.48,1.5,0.91
0.9,Ideal,G,VVS2,60.8,59.0,3336,4.04,4.05,2.46
0.35,Ideal,F,VS2,62.1,56.0,579,1.2,1.2,0.74
0.63,Ideal,I,SI1,62.3,56.0,1513,2.69,2.66,1.67
0.34,Ideal,E,SI2,63.1,57.0,547,1.3,1.29,0.82
0.41,Very Good,J,SI1,60.9,60.0,658,1.81,1.82,1.11
1.55,Premium,F,VVS1,62.3,56.0,8165,6.51,6.49,4.05
0.51,Ideal,G,SI1,61.1,55.0,1145,2.23,2.23,1.36
0.77,Ideal,E,SI1,61.4,58.0,2411,3.34,3.32,2.05
0.32,Very Good,G,VS2,62.1,54.0,520,1.3,1.29,0.8
0.8,Ideal,J,VS2,61.2,57.0,2338,3.31,3.25,2.01
2.1,Very Good,H,SI1,62.1,61.0,12332,8.72,8.89,5.47
0.81,Very Good,E,I1,61.8,62.0,2184,3.32,3.32,2.05
0.54,Premium,G,VVS2,62.2,57.0,1249,2.66,2.65,1.65
0.26,Premium,G,SI2,62.1,55.0,326,1.1,1.09,0.68
0.58,Premium,D,VVS2,63.1,58.0,1687,2.2,2.19,1.38
0.34,Good,I,SI1,60.4,57.0,417,1.45,1.47,0.88
0.88,Ideal,F,VVS1,62.9,54.0,3552,3.71,3.68,2.32
0.4,Very Good,G,VS2,62.8,58.0,772,1.74,1.74,1.09
0.28,Good,F,I1,62.8,60.0,326,1.26,1.25,0.79
0.28,Ideal,E,VS2,60.4,54.0,393,1.24,1.26,0.76
0.28,Ideal,J,VVS1,61.4,57.0,339,1.15,1.13,0.7
0.79,Ideal,D,SI2,63.3,58.0,2368,3.37,3.33,2.12
0.23,Ideal,F,VS2,63.4,56.0,326,0.91,0.89,0.57
1.85,Ideal,H,VS1,60.6,60.0,10283,7.12,7.16,4.33
0.31,Premium,F,SI2,61.5,56.0,486,1.14,1.15,0.7
0.4,Good,G,SI1,60.5,55.0,546,1.94,1.94,1.17
0.29,Premium,G,SI2,60.8,61.0,397,1.23,1.24,0.75
1.27,Premium,J,VS2,62.4,56.0,4237,5.51,5.47,3.43
0.22,Very Good,H,VVS2,59.5,55.0,326,0.95,0.96,0.57
0.83,Ideal,J,SI1,61.4,59.0,2012,3.5,3.51,2.15
0.26,Premium,H,SI2,63.5,56.0,326,1.27,1.26,0.8
4.2,Good,E,VS2,60.4,54.0,18823,17.73,17.71,10.7
0.45,Very Good,F,VVS2,61.6,61.0,956,1.86,1.87,1.15
0.39,Ideal,I,VS2,61.9,56.0,696,1.73,1.75,1.08
0.45,Good,G,SI1,62.7,58.0,708,2.1,2.13,1.32
0.43,Ideal,F,SI1,60.2,56.0,990,1.79,1.79,1.08
0.3,Premium,J,SI1,60.8,57.0,419,1.26,1.28,0.77
1.23,Premium,D,SI2,61.7,55.0,4697,5.27,5.21,3.23
0.7,Premium,G,VS2,60.0,54.0,1644,2.67,2.68,1.61
0.41,Ideal,I,IF,62.0,61.0,806,1.67,1.65,1.03
0.43,Very Good,H,VVS2,63.0,56.0,755,1.79,1.76,1.12
0.24,Ideal,F,VS2,61.7,56.0,334,1.04,1.04,0.64
0.45,Premium,G,VVS1,60.6,56.0,1045,1.88,1.91,1.15
0.93,Very Good,D,VS2,61.6,57.0,3292,3.56,3.54,2.19
0.46,Ideal,G,VVS2,61.7,57.0,1121,1.98,1.95,1.21
0.5,Ideal,G,SI2,61.9,56.0,993,2.15,2.16,1.33
0.3,Ideal,I,SI1,61.8,57.0,391,1.36,1.35,0.84
0.28,Ideal,E,VVS2,61.3,56.0,493,1.14,1.12,0.69
0.81,Ideal,I,SI1,62.5,59.0,2299,3.84,3.87,2.41
0.77,Ideal,H,VS2,61.8,59.0,2455,3.48,3.48,2.15
0.69,Ideal,H,SI1,62.0,60.0,1702,3.08,3.1,1.92
0.94,Ideal,F,VS2,61.0,60.0,3835,3.77,3.78,2.3
0.52,Ideal,F,VS2,59.6,52.0,1155,2.12,2.14,1.27
0.27,Premium,H,VVS2,62.5,60.0,390,1.04,1.05,0.65
0.59,Ideal,J,VS1,62.4,60.0,1216,2.51,2.57,1.59
0.35,Very Good,F,SI1,60.4,60.0,517,1.47,1.48,0.89
0.8,Ideal,J,VS2,63.1,56.0,2067,3.39,3.37,2.13
0.73,Ideal,G,IF,61.3,54.0,2478,3.09,3.12,1.9
0.35,Fair,I,VS2,62.0,58.0,356,1.44,1.44,0.89
1.2,Ideal,E,VS2,63.8,57.0,6271,5.1,5.16,3.28
1.32,Good,I,SI2,61.8,60.0,3855,5.85,5.77,3.59
0.78,Very Good,I,VS2,62.5,60.0,1994,3.25,3.23,2.02
0.47,Ideal,I,VVS1,61.0,61.0,927,1.98,2.03,1.22
0.66,Very Good,I,VVS1,62.2,54.0,1945,2.77,2.76,1.72
0.4,Ideal,F,VS1,60.8,62.0,850,1.59,1.6,0.97
0.41,Ideal,G,SI1,58.3,55.0,854,1.73,1.77,1.02
0.54,Premium,F,VS1,61.7,59.0,1141,2.46,2.45,1.51
0.39,Fair,F,VS2,61.5,57.0,574,1.89,1.96,1.18
0.84,Very Good,F,VS2,61.2,59.0,2536,4.18,4.14,2.54
0.28,Premium,F,VVS2,62.1,61.0,393,1.2,1.19,0.74
0.25,Ideal,H,SI1,60.6,59.0,326,1.08,1.08,0.66
0.58,Ideal,H,VS2,60.9,58.0,1310,2.58,2.58,1.57
0.51,Very Good,E,VS2,61.1,57.0,1386,2.03,2.06,1.25
0.42,Ideal,H,VVS1,62.5,60.0,899,1.82,1.83,1.14
1.3,Premium,F,SI2,61.5,55.0,5375,5.99,6.06,3.7
0.57,Ideal,E,VS2,60.6,60.0,1530,2.18,2.2,1.32
1.1,Good,H,SI1,61.4,61.0,3064,5.28,5.33,3.26
0.92,Ideal,F,VVS2,61.2,59.0,3239,3.91,3.91,2.39
0.57,Premium,G,SI1,63.7,59.0,1191,2.52,2.55,1.61
1.12,Ideal,E,SI1,60.9,58.0,4557,4.88,4.98,3.0
0.66,Very Good,H,VS1,62.0,57.0,1559,2.97,2.99,1.85
0.32,Ideal,E,SI1,60.9,57.0,508,1.54,1.53,0.93
0.45,Ideal,E,SI1,61.2,61.0,953,2.15,2.17,1.32
1.32,Good,F,SI2,60.8,58.0,4710,5.42,5.34,3.27
0.39,Ideal,I,SI1,62.3,55.0,563,1.73,1.75,1.08
0.23,Ideal,E,VS1,61.2,57.0,326,0.96,0.98,0.59
1.45,Good,D,VS2,61.7,59.0,5952,6.55,6.61,4.06
0.57,Very Good,D,SI2,60.7,61.0,1183,2.46,2.48,1.5
0.94,Ideal,F,VVS2,61.1,57.0,3386,4.18,4.19,2.56
0.51,Good,F,SI1,62.3,52.0,1053,2.4,2.39,1.49
0.7,Premium,F,VVS2,60.3,56.0,2231,2.91,2.96,1.77
0.64,Very Good,J,VVS2,62.0,56.0,1672,2.8,2.74,1.72
0.25,Ideal,E,SI2,61.9,54.0,326,1.06,1.06,0.66
0.28,Fair,G,VVS1,61.9,55.0,350,1.19,1.2,0.74
1.1,Ideal,J,SI2,61.9,60.0,3124,4.08,4.17,2.55
0.27,Ideal,D,SI1,60.4,59.0,413,0.95,0.95,0.57
0.38,Ideal,H,SI2,62.6,59.0,587,1.65,1.63,1.02
0.66,Ideal,F,SI2,61.4,59.0,1664,2.84,2.89,1.76
1.44,Good,J,SI2,61.6,57.0,4581,6.6,6.57,4.05
0.45,Ideal,J,I1,63.4,55.0,699,1.89,1.87,1.19
0.57,Fair,F,VVS2,62.4,59.0,1171,2.91,2.92,1.82
1.9,Fair,E,SI1,61.7,60.0,8158,8.38,8.31,5.14
0.9,Very Good,G,I1,60.1,58.0,2326,3.62,3.68,2.19
0.4,Premium,J,SI1,63.5,60.0,573,1.78,1.78,1.13
0.88,Ideal,F,SI2,61.8,58.0,3004,3.46,3.4,2.12
0.41,Ideal,J,SI2,61.0,58.0,627,1.72,1.75,1.06
0.75,Premium,I,VVS2,62.5,55.0,2281,2.79,2.79,1.75
0.3,Very Good,E,I1,62.1,58.0,426,1.15,1.15,0.71
0.25,Ideal,I,VVS2,59.2,56.0,328,1.15,1.15,0.68
0.45,Premium,D,SI1,61.9,63.0,905,2.07,2.08,1.28
0.31,Premium,G,VVS1,61.5,57.0,510,1.34,1.33,0.82
1.07,Very Good,F,VS1,61.2,60.0,4560,4.32,4.34,2.65
0.67,Ideal,G,SI1,60.1,57.0,1656,2.96,3.04,1.8
0.24,Ideal,G,SI1,61.1,56.0,326,1.05,1.08,0.65
0.44,Very Good,G,SI1,61.2,56.0,795,1.89,1.87,1.15
0.48,Good,H,SI1,60.7,57.0,766,1.56,1.59,0.96
1.08,Ideal,H,SI1,61.3,58.0,3724,4.35,4.36,2.67
1.3,Ideal,J,VS2,62.0,61.0,4295,5.44,5.43,3.37
0.46,Very Good,I,VS1,62.0,58.0,924,2.0,1.98,1.23
1.01,Ideal,H,SI1,61.4,58.0,3079,4.67,4.71,2.88
0.92,Very Good,F,VVS2,62.3,57.0,3301,4.14,4.13,2.57
0.24,Premium,D,VS1,61.4,60.0,348,0.96,0.96,0.59
0.26,Ideal,D,VS2,62.0,56.0,478,1.19,1.19,0.74
0.37,Premium,G,SI2,60.9,58.0,598,1.72,1.71,1.04
0.8,Ideal,H,SI1,62.5,54.0,2349,3.44,3.38,2.13
0.25,Premium,H,SI1,64.6,57.0,326,1.1,1.09,0.71
0.7,Very Good,J,VVS1,61.8,60.0,1749,2.99,2.97,1.84
0.2,Ideal,F,VVS2,61.0,56.0,326,0.83,0.84,0.51
0.75,Premium,H,SI2,62.3,59.0,1873,3.33,3.33,2.07
1.77,Ideal,I,I1,60.3,57.0,7326,7.72,7.75,4.66
1.24,Very Good,F,VVS2,60.2,60.0,5075,5.2,5.25,3.15
0.94,Very Good,G,SI2,62.0,62.0,2784,3.99,3.96,2.47
0.37,Fair,J,SI1,61.4,61.0,373,1.7,1.72,1.05
0.23,Ideal,G,VVS1,61.4,61.0,338,0.97,0.97,0.6
1.28,Premium,I,SI1,61.4,54.0,4023,5.59,5.48,3.4
0.27,Ideal,J,VVS2,62.3,59.0,375,1.29,1.3,0.81
0.22,Premium,G,SI2,61.1,61.0,326,0.81,0.81,0.49
0.63,Ideal,D,VS1,64.0,56.0,2041,2.58,2.57,1.65
0.58,Very Good,I,VS1,61.0,62.0,1143,2.65,2.65,1.62
0.3,Ideal,I,VS1,63.1,56.0,458,1.3,1.31,0.82
0.57,Ideal,D,SI1,61.6,56.0,1663,2.28,2.3,1.41
0.35,Ideal,G,SI2,61.0,58.0,613,1.54,1.54,0.94
0.93,Ideal,G,SI2,62.1,53.0,2871,4.56,4.49,2.81
1.11,Ideal,I,VS1,60.0,55.0,4039,4.95,5.0,2.98
0.39,Ideal,E,VS1,62.2,60.0,769,1.64,1.64,1.02
1.74,Good,G,I1,62.3,55.0,6428,7.86,7.91,4.91
0.45,Fair,G,VS2,61.8,58.0,647,2.17,2.18,1.35
1.53,Ideal,G,SI2,61.5,59.0,7124,5.86,5.83,3.6
0.62,Premium,J,SI2,59.7,60.0,1127,2.81,2.84,1.69
0.29,Ideal,J,VS2,62.6,58.0,413,1.28,1.26,0.8
0.48,Premium,D,SI1,62.1,56.0,1029,2.26,2.24,1.4
0.41,Good,F,VS2,63.7,58.0,664,2.0,2.03,1.28
0.99,Good,D,VS1,62.2,60.0,3236,4.08,4.07,2.54
1.0,Ideal,F,VVS1,61.9,54.0,4020,4.12,4.07,2.53
1.11,Premium,H,SI1,62.0,61.0,3948,4.75,4.78,2.96
0.25,Very Good,G,SI1,59.6,56.0,337,1.04,1.04,0.62
0.23,Premium,D,SI2,63.5,57.0,326,0.92,0.91,0.58
1.42,Good,E,VS1,62.2,63.0,5925,5.72,5.75,3.57
0.33,Premium,E,VVS2,60.4,59.0,601,1.31,1.32,0.79
0.43,Very Good,G,VS1,62.0,58.0,967,1.69,1.71,1.06
0.55,Ideal,H,VS2,58.7,55.0,1098,2.28,2.3,1.35
1.7,Very Good,F,VS2,61.9,59.0,8880,7.57,7.53,4.68
0.76,Premium,E,SI1,60.8,62.0,2092,2.97,3.02,1.82
0.39,Fair,I,VS1,60.4,58.0,562,1.6,1.62,0.97
0.72,Good,I,VS1,63.8,55.0,1747,2.76,2.73,1.75
1.92,Premium,E,VVS1,61.4,59.0,13908,8.69,8.79,5.36
0.21,Premium,G,VS2,59.2,60.0,326,0.84,0.83,0.49
0.31,Premium,D,VS1,62.6,61.0,538,1.33,1.33,0.83
0.69,Very Good,E,VS2,62.2,56.0,1725,2.86,2.91,1.79
0.21,Ideal,I,VVS2,62.1,59.0,326,0.92,0.91,0.57
1.21,Ideal,F,VS2,60.4,58.0,5014,5.11,5.08,3.08
0.46,Ideal,G,VS2,63.2,57.0,866,1.78,1.75,1.12
0.97,Fair,J,SI2,61.2,55.0,1756,4.37,4.4,2.68
0.86,Premium,H,VVS2,60.1,60.0,2835,3.72,3.71,2.23
0.68,Good,G,VVS2,60.8,63.0,1413,3.07,3.1,1.87
0.66,Very Good,F,SI1,61.1,59.0,1714,2.53,2.54,1.55
2.73,Ideal,E,VS2,61.5,56.0,18823,11.95,11.94,7.34
0.23,Very Good,H,SI1,60.7,59.0,326,0.92,0.93,0.56
0.47,Premium,D,SI1,61.5,56.0,1012,2.17,2.2,1.34
1.09,Premium,D,VS2,63.4,56.0,4166,4.91,4.87,3.1
0.49,Ideal,D,VS2,61.1,55.0,1036,2.41,2.43,1.48
0.88,Premium,E,SI2,60.9,60.0,3014,4.02,4.05,2.46
0.92,Fair,H,SI1,62.3,58.0,1936,3.88,3.88,2.42
0.27,Very Good,I,SI2,61.0,60.0,326,1.17,1.16,0.71
1.48,Premium,J,VS1,61.1,57.0,4944,6.75,6.84,4.15
0.54,Good,H,VS1,62.7,58.0,1040,2.24,2.24,1.4
0.89,Very Good,E,SI1,61.7,59.0,2704,3.77,3.8,2.33
1.72,Fair,E,VS2,62.4,62.0,8125,7.61,7.66,4.77
0.64,Good,E,SI1,62.4,56.0,1327,2.73,2.71,1.7
0.71,Premium,D,SI2,61.6,59.0,2064,3.04,3.0,1.86
0.4,Good,G,VS1,61.5,59.0,712,1.79,1.8,1.1
0.74,Premium,J,VVS2,60.8,57.0,1741,3.3,3.28,2.0
0.25,Ideal,H,SI1,62.2,57.0,326,1.17,1.17,0.73
0.35,Ideal,I,VS2,62.2,58.0,623,1.56,1.55,0.97
1.07,Very Good,G,SI2,61.3,58.0,3355,4.6,4.62,2.83
0.53,Very Good,G,SI2,62.8,60.0,1005,2.63,2.55,1.63
0.25,Good,J,SI1,63.4,55.0,326,1.08,1.07,0.68
0.99,Ideal,H,VVS2,61.0,61.0,3826,4.16,4.15,2.53
0.94,Ideal,G,VVS2,61.0,58.0,3753,4.37,4.36,2.66
0.27,Fair,F,SI1,61.8,58.0,326,1.2,1.19,0.74
0.62,Ideal,D,SI2,62.1,58.0,1554,2.69,2.66,1.66
0.78,Good,I,VVS2,60.8,59.0,2069,3.34,3.39,2.05
0.34,Premium,E,VS1,60.0,58.0,634,1.54,1.52,0.92
1.38,Ideal,G,SI2,59.4,56.0,5557,6.16,6.06,3.63
0.59,Ideal,H,VS1,62.1,54.0,1398,2.44,2.48,1.53
2.12,Ideal,H,VS2,60.3,54.0,12149,9.22,9.31,5.59
1.54,Ideal,D,SI2,62.0,57.0,8219,7.2,7.09,4.43
1.54,Very Good,D,SI2,61.1,55.0,6974,6.75,6.72,4.11
0.3,Ideal,H,VVS2,61.3,60.0,488,1.38,1.39,0.85
0.45,Good,G,SI1,61.7,62.0,711,1.93,1.93,1.19
0.21,Ideal,E,VS2,61.0,59.0,326,0.88,0.87,0.53
1.08,Premium,J,SI2,61.0,61.0,3162,4.83,4.83,2.94
0.61,Ideal,I,VS1,61.9,60.0,1605,2.55,2.54,1.58
0.34,Premium,G,SI2,62.0,58.0,529,1.46,1.47,0.91
0.91,Ideal,H,VVS2,60.7,59.0,3497,4.03,4.1,2.47
1.52,Premium,E,VS2,61.7,63.0,8428,7.6,7.6,4.69
0.63,Ideal,J,SI2,62.2,59.0,1254,2.83,2.85,1.76
0.6,Good,J,VS2,61.4,59.0,1149,2.81,2.8,1.72
0.57,Good,H,SI1,62.9,59.0,1031,2.55,2.52,1.59
2.44,Very Good,H,SI1,61.9,56.0,14494,11.8,11.84,7.32
0.84,Very Good,H,VS1,61.5,56.0,1951,3.66,3.65,2.25
0.85,Ideal,H,VVS2,61.1,55.0,2852,4.0,4.03,2.45
0.32,Very Good,G,SI2,61.7,56.0,392,1.38,1.38,0.85
0.79,Ideal,G,SI1,62.9,59.0,2333,3.43,3.48,2.17
1.05,Very Good,F,SI2,62.4,61.0,3669,4.24,4.25,2.65
0.26,Very Good,G,VS2,60.9,52.0,326,1.07,1.07,0.65
1.01,Ideal,G,I1,63.1,57.0,2736,4.46,4.47,2.82
2.01,Ideal,F,VS1,62.8,64.0,13474,8.77,8.75,5.5
0.67,Premium,I,SI2,64.3,58.0,1355,2.83,2.8,1.81
1.11,Premium,F,SI2,61.2,57.0,3475,4.42,4.44,2.71
0.66,Ideal,G,VVS2,59.2,59.0,1651,2.84,2.87,1.69
0.2,Very Good,E,VVS2,64.0,58.0,326,0.79,0.79,0.51
0.61,Ideal,G,VS2,62.4,59.0,1614,2.65,2.65,1.65
1.67,Ideal,I,VS1,60.8,60.0,7703,7.25,7.28,4.42
0.7,Ideal,G,VS2,61.0,61.0,2172,2.76,2.77,1.69
0.69,Very Good,G,SI1,62.9,54.0,1744,2.74,2.73,1.72
0.95,Ideal,H,SI1,61.9,53.0,3076,4.17,4.19,2.59
0.54,Good,F,VVS1,63.1,59.0,1233,2.18,2.16,1.37
1.19,Fair,F,VVS1,62.6,58.0,4271,5.08,5.04,3.17
0.42,Very Good,D,VVS1,61.8,59.0,859,2.21,2.18,1.36
0.55,Premium,G,VVS1,63.3,57.0,1404,2.68,2.72,1.71
1.49,Ideal,H,VS1,60.6,54.0,5725,6.0,6.0,3.64
1.17,Ideal,G,VVS1,63.0,58.0,5386,4.69,4.68,2.95
0.29,Ideal,F,VVS2,62.8,58.0,494,1.25,1.24,0.78
0.69,Premium,E,SI1,62.5,55.0,1845,3.0,3.01,1.88
1.2,Very Good,E,VVS2,61.3,57.0,5604,5.29,5.3,3.25
2.6,Premium,D,VS2,61.4,56.0,18823,12.12,12.13,7.44
3.12,Ideal,G,VS2,61.7,55.0,18823,13.84,13.91,8.56
0.45,Fair,E,SI2,61.3,56.0,656,1.94,1.95,1.19
0.97,Ideal,H,VVS2,61.3,61.0,3479,3.78,3.84,2.34
2.27,Premium,J,SI1,61.5,58.0,11136,10.4,10.33,6.38
0.91,Premium,D,SI1,60.1,58.0,3171,4.01,4.02,2.41
0.44,Ideal,J,VVS2,63.4,59.0,810,2.08,2.05,1.31
0.64,Premium,H,SI2,63.0,60.0,1432,3.01,2.99,1.89
1.12,Ideal,I,SI1,63.6,59.0,3588,4.59,4.52,2.9
1.13,Ideal,E,VS2,60.4,58.0,4844,4.51,4.54,2.73
0.78,Premium,J,VVS2,61.4,60.0,2184,3.75,3.74,2.3
0.4,Very Good,J,VS2,61.0,54.0,687,1.9,1.88,1.16
1.11,Premium,J,SI2,61.3,59.0,3627,4.74,4.7,2.89
0.3,Ideal,I,VS2,61.6,55.0,406,1.26,1.26,0.78
0.86,Very Good,D,VS1,61.8,53.0,2871,3.59,3.6,2.22
2.77,Ideal,E,VVS2,61.3,56.0,18823,12.25,12.46,7.58
2.18,Ideal,J,VVS2,63.6,58.0,11762,7.84,7.77,4.96
0.34,Ideal,E,VVS2,63.5,58.0,644,1.5,1.51,0.95
1.19,Good,F,VS2,61.5,55.0,4213,5.74,5.7,3.52
0.23,Ideal,D,VVS1,62.4,57.0,415,1.0,1.01,0.63
0.58,Ideal,H,VVS2,61.8,61.0,1772,2.71,2.75,1.69
0.27,Very Good,G,VS1,62.1,56.0,347,1.06,1.07,0.66
0.91,Very Good,J,VVS2,61.8,56.0,2010,4.16,4.1,2.56
0.38,Ideal,J,VVS1,61.8,57.0,662,1.59,1.59,0.98
0.22,Very Good,G,SI1,61.2,55.0,326,0.93,0.93,0.57
0.52,Ideal,G,VVS1,62.5,59.0,1280,2.49,2.51,1.56
0.62,Premium,F,SI2,60.3,58.0,1478,2.7,2.72,1.63
1.38,Very Good,E,VVS2,62.8,56.0,6168,6.47,6.36,4.03
1.17,Ideal,I,SI1,63.8,58.0,3983,5.31,5.22,3.36
0.92,Premium,G,VS2,62.1,58.0,3086,4.02,4.01,2.49
0.22,Premium,G,VS2,59.3,56.0,326,0.93,0.94,0.55
0.57,Very Good,D,VVS1,61.2,55.0,1450,2.4,2.41,1.47
0.94,Premium,H,SI1,61.7,55.0,2780,3.8,3.77,2.33
1.36,Very Good,F,SI1,62.5,59.0,5223,6.43,6.43,4.02
0.65,Premium,E,SI2,61.3,56.0,1733,2.87,2.84,1.75
0.87,Ideal,I,VS2,62.2,59.0,2781,3.96,3.95,2.46
0.41,Very Good,E,SI1,60.4,57.0,838,1.8,1.8,1.09
0.4,Ideal,G,VS2,63.8,60.0,745,1.58,1.58,1.01
0.56,Very Good,I,SI2,62.0,52.0,1023,2.3,2.33,1.43
0.67,Ideal,I,VVS2,63.3,58.0,1836,3.46,3.43,2.18
1.99,Good,I,SI1,60.4,59.0,9344,8.08,8.03,4.87
0.25,Ideal,J,VS1,59.6,57.0,340,1.03,1.04,0.62
1.25,Premium,E,VS1,62.0,57.0,5335,5.13,5.2,3.2
0.57,Very Good,J,VS1,61.7,54.0,1036,2.54,2.55,1.57
0.2,Good,D,SI1,61.8,57.0,326,0.82,0.81,0.5
0.64,Very Good,E,SI2,61.3,58.0,1510,3.06,3.05,1.87
0.76,Premium,D,SI2,61.8,57.0,2273,3.39,3.37,2.09
0.41,Very Good,J,VS2,61.5,56.0,592,1.77,1.74,1.08
0.43,Ideal,G,SI2,60.9,56.0,726,1.75,1.74,1.06
0.92,Premium,F,SI1,60.7,60.0,3315,3.62,3.63,2.2
0.49,Very Good,E,VVS2,63.7,58.0,1094,2.21,2.2,1.4
0.23,Premium,E,SI2,61.4,58.0,326,1.02,1.02,0.63
0.22,Ideal,H,VS1,63.0,56.0,326,1.11,1.11,0.7
0.23,Very Good,D,SI1,60.7,57.0,326,1.06,1.06,0.64
0.3,Very Good,G,VVS2,64.0,61.0,525,1.2,1.18,0.76
1.03,Fair,I,VS1,63.6,57.0,2444,4.12,4.07,2.61
1.4,Ideal,G,SI2,60.9,58.0,5395,5.82,5.84,3.55
0.4,Ideal,I,SI1,61.2,56.0,641,1.68,1.67,1.02
0.9,Premium,E,VS1,61.9,61.0,3477,3.77,3.83,2.35
2.61,Ideal,D,SI2,61.5,60.0,18823,12.49,12.4,7.65
1.14,Ideal,H,VVS2,58.8,53.0,4804,4.57,4.72,2.73
0.69,Premium,I,SI1,60.3,57.0,1533,2.96,2.99,1.79
0.25,Ideal,G,VVS2,61.4,61.0,405,1.04,1.03,0.63
1.16,Very Good,I,SI1,62.9,59.0,3411,5.11,5.13,3.22
0.25,Good,G,SI1,61.9,55.0,326,1.05,1.07,0.66
0.33,Very Good,E,VVS1,62.3,61.0,658,1.23,1.22,0.76
0.54,Good,G,VS1,60.7,54.0,1120,1.99,1.98,1.2
0.25,Premium,E,VS2,61.5,58.0,326,1.03,1.03,0.63
0.48,Ideal,G,SI2,61.6,58.0,921,2.0,1.98,1.23
0.41,Fair,E,SI1,60.5,56.0,640,1.78,1.8,1.08
0.34,Good,E,SI2,62.7,62.0,471,1.33,1.33,0.83
0.52,Premium,I,SI2,62.3,61.0,1038,2.07,2.07,1.29
0.29,Ideal,D,SI1,61.9,60.0,487,1.31,1.31,0.81
0.24,Very Good,E,SI2,60.1,57.0,326,1.07,1.05,0.64
0.93,Premium,J,VVS1,62.0,62.0,2836,3.42,3.43,2.12
0.47,Fair,G,SI2,61.7,56.0,721,1.89,1.94,1.18
0.28,Very Good,G,VVS2,63.3,58.0,434,1.16,1.14,0.73
1.26,Ideal,I,VS2,60.7,56.0,4994,5.78,5.84,3.53
1.36,Ideal,G,SI2,61.8,56.0,4255,5.51,5.5,3.4
0.29,Fair,E,VS2,62.1,56.0,364,1.19,1.19,0.74
0.22,Ideal,G,VVS2,61.1,59.0,326,0.91,0.92,0.56
1.38,Ideal,H,VVS2,64.3,60.0,6247,6.44,6.46,4.15
0.72,Ideal,I,SI1,62.5,60.0,1605,3.11,3.11,1.94
1.3,Premium,E,VS1,61.9,60.0,6690,5.45,5.36,3.35
0.24,Premium,E,SI2,60.8,63.0,326,1.0,1.0,0.61
0.25,Premium,F,VS2,62.7,59.0,353,1.07,1.07,0.67
1.25,Ideal,G,SI1,59.4,57.0,5320,5.17,5.15,3.06
0.9,Good,E,SI1,61.0,61.0,2458,4.34,4.38,2.66
0.51,Fair,J,VS2,60.5,57.0,679,2.18,2.19,1.32
0.95,Very Good,J,VVS1,60.4,54.0,2856,3.94,3.99,2.4
0.74,Ideal,H,VVS2,64.2,58.0,2263,2.71,2.71,1.74
0.91,Very Good,J,SI1,61.0,59.0,2520,3.73,3.75,2.28
0.21,Ideal,F,VS2,60.5,59.0,326,0.92,0.93,0.56
0.45,Ideal,I,VVS2,63.9,58.0,863,2.01,1.95,1.27
1.45,Good,H,SI2,60.4,58.0,4747,6.23,6.31,3.79
0.77,Ideal,E,VVS2,62.2,57.0,2833,3.2,3.19,1.99
0.22,Premium,F,SI2,62.2,58.0,326,0.98,0.97,0.61
3.0,Ideal,G,SI1,63.1,57.0,18823,11.98,11.86,7.52
2.7,Very Good,I,SI1,61.0,61.0,14310,10.39,10.34,6.32
0.51,Ideal,I,VS2,61.2,55.0,1027,2.06,2.04,1.25
1.31,Ideal,H,SI1,61.8,59.0,4952,5.57,5.53,3.43
0.47,Ideal,H,VS2,62.9,57.0,963,2.22,2.21,1.39
0.36,Ideal,E,SI2,62.8,56.0,616,1.48,1.48,0.93
2.07,Premium,H,SI1,60.2,55.0,12634,8.65,8.89,5.28
0.96,Premium,G,VS1,62.3,58.0,3144,4.29,4.27,2.67
0.54,Ideal,E,VS2,61.0,55.0,1161,2.41,2.41,1.47
0.49,Premium,J,VVS2,60.1,54.0,978,2.34,2.36,1.41
0.24,Fair,G,VS2,61.3,57.0,326,1.07,1.07,0.66
1.09,Ideal,I,VVS2,60.7,59.0,4169,4.45,4.51,2.72
0.34,Ideal,G,SI1,63.1,60.0,560,1.31,1.31,0.83
0.26,Ideal,J,SI1,60.3,59.0,340,1.06,1.06,0.64
0.82,Very Good,E,SI1,61.8,55.0,2540,3.38,3.39,2.09
0.61,Ideal,G,VS2,62.4,62.0,1707,2.62,2.62,1.63
0.77,Premium,D,VVS2,59.9,59.0,2630,3.41,3.43,2.05
0.27,Ideal,E,VS1,61.8,59.0,465,1.22,1.24,0.76
0.27,Good,F,SI2,59.9,60.0,326,1.21,1.24,0.73
0.29,Ideal,G,VVS1,62.3,59.0,534,1.32,1.3,0.82
0.62,Ideal,I,VS2,62.0,60.0,1457,2.8,2.75,1.72
0.35,Fair,G,SI1,61.9,57.0,473,1.47,1.45,0.91
0.66,Ideal,G,VVS1,64.6,55.0,1903,2.69,2.64,1.72
0.55,Premium,J,VS2,63.2,56.0,1066,2.44,2.42,1.54
0.45,Ideal,H,SI2,61.3,58.0,725,1.73,1.74,1.06
0.21,Ideal,D,VVS2,60.4,57.0,326,0.94,0.95,0.57
1.05,Premium,E,VS2,62.8,56.0,3895,4.29,4.3,2.7
0.23,Ideal,D,SI1,62.7,55.0,335,1.11,1.11,0.7
0.73,Ideal,D,VS1,62.3,56.0,2280,3.13,3.1,1.94
